Country,Predicted_Yield
OTHER (COMBINED) COUNTIES,50.885151591695376
HANCOCK,9.294999999999959
MIAMI,47.932000000000016
SANDUSKY,20.864405594405582
WILLIAMS,31.824857142857127
FAYETTE,-48.5600000000004
DARKE,32.91014375561542
LUCAS,109.43000000000029
DEFIANCE,-11.230000000000018
WOOD,21.90534626038783
WYANDOT,241.39999999999964
PUTNAM,33.09480611687604
OTTAWA,24.13875802997859
HENRY,32.93784090909088
FULTON,30.758297563805105
ALLEN,105.18000000000029
SENECA,70.3533898305086
GREENE,95.07857142857165
KINGS,60.64095979247736
SUTTER,47.558627726952864
YOLO,51.32348393574307
MERCED,56.60958333333315
SACRAMENTO,49.84764705882344
STANISLAUS,47.381205882353015
SAN JOAQUIN,47.813953252032434
FRESNO,57.569420731707396
SOLANO,46.320855548667055
SAN BENITO,15.509433962264666
CONTRA COSTA,34.61
COLUSA,53.08152173913072
MADERA,53.00785714285712
KERN,44.315571428571616
